,Predicciones Venta
840,153.55177
841,150.9927
842,151.45706
843,151.93376
844,153.00482
845,154.18973
846,133.36298
847,115.12843
848,112.55375
849,114.756645
850,114.42316
851,113.86178
852,113.21111
853,112.39404
854,111.70456
855,111.191956
856,114.40375
857,114.321495
858,114.02818
859,113.48691
860,112.91025
861,112.51545
862,112.28276
863,136.18048
864,144.10255
865,142.0523
866,144.3883
867,143.40019
868,141.96645
869,142.98718
870,143.58858
871,144.67508
872,145.72502
873,147.26385
874,146.72498
875,145.2519
876,146.25668
877,146.93156
878,148.03404
879,149.12537
880,150.96489
881,151.90405
882,153.05927
883,156.34026
884,155.33205
885,153.00809
886,153.12881
887,153.36407
888,154.1176
889,155.03342
890,158.27184
891,157.22636
892,155.03926
893,154.86015
894,155.5807
895,157.03386
896,156.0284
897,151.38562
898,150.08325
899,151.23587
900,150.5701
901,147.65315
902,148.09912
903,148.47916
904,149.51329
905,150.6393
906,153.11507
907,152.78862
908,150.1157
909,150.9539
910,152.12541
911,153.39738
912,169.14929
913,180.3424
914,181.49417
915,182.05846
916,182.79155
917,185.2055
918,185.19125
919,184.9881
920,185.32571
921,187.27017
922,167.01096
923,156.81181
924,158.64636
925,155.7988
926,153.23596
927,154.08344
928,155.21735
929,158.61957
930,157.23477
931,155.38751
932,156.06584
933,156.6011
934,157.60295
935,154.45093
936,147.36397
937,145.96062
938,145.57991
939,145.215
940,142.98581
941,144.27238
942,144.90622
943,146.14351
944,147.29356
945,148.4819
946,148.29437
947,146.51169
948,147.721
949,148.44121
950,149.6785
951,150.86461
952,132.93985
953,121.114456
954,119.499886
955,120.16756
956,122.13451
957,118.62134
958,119.710594
959,119.334
960,119.95616
961,120.4303
962,123.15044
963,124.84074
964,121.981155
965,122.90006
966,122.70756
967,123.351875
968,123.9081
969,203.15361
970,242.24634
971,253.934
972,277.76236
973,272.08887
974,268.22366
975,266.30533
976,264.63202
977,263.2697
978,261.894
979,280.1957
980,272.8024
981,268.25665
982,265.88992
983,264.0741
984,262.5567
985,261.05136
986,181.61592
987,162.39635
988,156.49979
989,156.57845
990,154.69563
991,152.10207
992,152.1917
993,152.45186
994,153.21725
995,154.12808
996,157.21022
997,156.19875
998,154.114
999,154.33794
1000,154.66472
1001,155.47133
1002,156.42303
1003,167.3132
1004,173.7835
1005,175.18752
1006,175.8339
1007,173.9358
1008,172.56389
1009,173.15771
1010,174.44772
1011,176.55515
1012,178.77385
1013,178.85542
1014,176.91835
1015,175.57922
1016,176.43323
1017,178.20938
1018,180.31836
1019,182.43591
1020,164.07857
1021,148.24854
1022,147.35435
1023,145.60086
1024,145.41058
1025,142.95525
1026,144.27118
1027,144.90536
1028,146.14299
1029,147.29356
1030,148.47864
1031,148.29094
1032,146.51187
1033,147.72287
1034,148.44344
1035,149.68124
1036,150.86752
1037,146.77306
1038,138.34114
1039,137.31508
1040,138.0966
1041,140.20454
1042,135.50423
1043,136.22652
1044,135.82707
1045,136.57666
1046,137.28899
1047,140.20935
1048,142.28603
1049,138.22763
1050,138.86766
1051,138.62466
1052,139.39502
1053,140.16487
1054,138.66553
1055,134.68681
1056,131.29007
1057,134.90834
1058,138.02568
1059,134.28464
1060,135.72026
1061,134.32687
1062,133.58192
1063,132.62766
1064,137.56357
1065,140.78464
1066,137.61887
1067,138.30473
1068,136.90758
1069,136.17911
1070,135.34761
1071,140.113
1072,143.14415
1073,143.77971
1074,145.06696
1075,144.9993
1076,142.98341
1077,144.28406
1078,144.91327
1079,146.14746
1080,147.29683
1081,148.50526
1082,148.31859
1083,146.51495
1084,147.71446
1085,148.4297
1086,149.66441
1087,150.84966
1088,150.18646
1089,148.77213
1090,149.5983
1091,151.62569
1092,151.2582
1093,148.4321
1094,148.89662
1095,149.2964
1096,150.34084
1097,151.49603
1098,153.98022
1099,153.54953
1100,150.99065
1101,151.45517
1102,151.93188
1103,153.00276
1104,154.18767
1105,177.70158
1106,190.74487
1107,193.99307
1108,195.48589
1109,192.82912
1110,192.29504
1111,194.28415
1112,197.0084
1113,198.9951
1114,196.44995
1115,195.44536
1116,196.52928
1117,197.89296
1118,199.20718
1119,152.19205
1120,130.99728
1121,126.843575
1122,128.97333
1123,130.1263
1124,125.92501
1125,125.63274
1126,124.760025
1127,124.7128
1128,124.755905
1129,130.21439
1130,131.72987
1131,128.23834
1132,128.04428
1133,127.3208
1134,127.354805
1135,127.490814
1136,150.39339
1137,163.69597
1138,164.91968
1139,168.21683
1140,167.66713
1141,166.97816
1142,167.65785
1143,168.29788
1144,169.15445
1145,170.03763
1146,172.14917
1147,171.43016
1148,170.66512
1149,171.30943
1150,171.9795
1151,172.85153
1152,173.76219
1153,170.95723
1154,167.6357
1155,167.17015
1156,168.59564
1157,167.72276
1158,166.80472
1159,167.45178
1160,168.10606
1161,168.97534
1162,169.87071
1163,172.0391
1164,171.25018
1165,170.48428
1166,171.142
1167,171.82513
1168,172.70985
1169,173.63135
1170,181.34322
1171,183.91928
1172,186.57794
1173,184.80196
1174,182.57724
1175,181.98341
1176,183.70805
1177,185.65663
1178,187.75478
1179,189.74767
1180,188.99155
1181,186.7768
1182,186.10037
1183,187.54373
1184,189.25566
1185,191.1237
1186,192.91548
1187,165.7565
1188,149.09462
1189,147.59082
1190,145.68913
1191,145.43532
1192,142.96246
1193,144.27153
1194,144.90572
1195,146.14299
1196,147.29356
1197,148.4795
1198,148.29198
1199,146.5122
1200,147.72218
1201,148.44292
1202,149.68037
1203,150.86684
1204,161.28682
1205,171.06456
1206,173.94662
1207,175.3505
1208,173.75085
1209,172.49933
1210,175.49542
1211,177.16563
1212,176.41914
1213,175.30997
1214,176.3027
1215,178.12215
1216,180.25636
1217,182.37408
1218,167.75848
1219,158.04842
1220,157.20558
1221,159.30235
1222,157.73038
1223,155.0384
1224,154.92506
1225,155.13165
1226,155.87402
1227,156.8307
1228,160.33752
1229,159.09903
1230,156.75325
1231,156.75668
1232,157.03644
1233,157.82259
1234,159.5146
1235,156.98628
1236,153.44238
1237,152.37596
1238,154.39992
1239,153.08725
1240,150.78474
1241,151.0669
1242,151.38905
1243,152.17899
1244,153.09085
1245,155.99286
1246,155.02174
1247,152.72473
1248,153.4216
1249,154.40662
1250,155.46051
1251,155.7229
1252,154.4626
1253,154.20639
1254,156.99522
1255,155.70934
1256,153.29143
1257,153.32613
1258,153.55727
1259,154.30908
1260,155.2254
1261,158.49628
1262,157.44359
1263,155.23503
1264,155.34322
1265,155.64322
1266,156.43762
1267,157.39224
1268,157.5231
1269,154.60977
1270,153.15302
1271,155.61763
1272,155.76653
1273,151.01108
1274,149.89847
1275,151.02654
1276,150.42928
1277,147.52866
1278,147.9942
1279,148.37405
1280,149.407
1281,150.5299
1282,152.97717
1283,152.67288
1284,150.15228
1285,150.67793
1286,151.13936
1287,152.19994
1288,153.35686
1289,149.55107
1290,141.42964
1291,139.22948
1292,139.71992
1293,141.1791
1294,136.46933
1295,136.94055
1296,136.57375
1297,137.44284
1298,138.32346
1299,141.14645
1300,143.04008
1301,138.95267
1302,139.44191
1303,139.213
1304,140.07077
1305,140.9761
1306,144.79254
1307,151.63496
1308,153.74084
1309,158.35152
1310,157.36047
1311,154.97435
1312,154.92317
1313,155.1301
1314,155.8723
1315,156.8223
1316,160.3334
1317,159.09663
1318,156.75137
1319,156.75497
1320,157.03506
1321,157.82088
1322,159.50705
1323,157.6136
1324,154.62883
1325,153.71353
1326,156.04712
1327,154.68997
1328,152.3308
1329,152.4431
1330,152.69452
1331,153.45595
1332,154.36765
1333,157.49081
1334,156.47076
1335,154.35905
1336,154.25996
1337,154.99307
